DATE,IPG2211A2N
2002-05-01,85.5043
2002-06-01,93.4856
2002-07-01,102.6936
2002-08-01,101.9121
2002-09-01,93.5608
2002-10-01,87.1293
2002-11-01,88.8047
2002-12-01,101.0439
2003-01-01,110.4292
2003-02-01,104.0828
2003-03-01,94.8015
2003-04-01,85.3124
2003-05-01,85.7418
2003-06-01,91.3695
2003-07-01,102.5243
2003-08-01,104.7716
2003-09-01,93.1841
2003-10-01,86.7534
2003-11-01,88.8280
2003-12-01,103.8162
2004-01-01,113.9960
2004-02-01,106.4378
2004-03-01,95.6626
2004-04-01,86.9849
2004-05-01,89.3240
2004-06-01,95.8104
2004-07-01,102.1007
2004-08-01,100.4992
2004-09-01,94.2998
2004-10-01,87.7732
2004-11-01,89.8297
2004-12-01,105.9787
2005-01-01,111.4496
2005-02-01,101.9498
2005-03-01,99.2324
2005-04-01,86.6793
2005-05-01,87.3784
2005-06-01,99.7382
2005-07-01,108.8005
2005-08-01,109.9901
2005-09-01,99.5563
2005-10-01,90.1695
2005-11-01,90.6297
2005-12-01,108.4977
2006-01-01,104.8128
2006-02-01,101.6310
2006-03-01,98.6932
2006-04-01,87.7034
2006-05-01,90.2388
2006-06-01,100.7836
2006-07-01,111.3696
2006-08-01,111.9898
2006-09-01,96.1212
2006-10-01,90.6869
2006-11-01,92.5922
2006-12-01,103.3658
2007-01-01,112.3854
2007-02-01,112.1298
2007-03-01,99.4690
2007-04-01,91.0450
2007-05-01,92.3001
2007-06-01,101.2636
2007-07-01,107.9356
2007-08-01,114.5031
2007-09-01,101.8592
2007-10-01,93.2820
2007-11-01,94.1475
2007-12-01,107.0407
2008-01-01,115.1666
2008-02-01,108.5190
2008-03-01,100.7093
2008-04-01,91.2094
2008-05-01,91.4431
2008-06-01,104.1756
2008-07-01,111.0800
2008-08-01,107.8943
2008-09-01,98.0097
2008-10-01,91.2397
2008-11-01,94.0321
2008-12-01,109.6583
2009-01-01,117.1041
2009-02-01,104.6585
2009-03-01,98.0044
2009-04-01,88.3217
2009-05-01,87.7293
2009-06-01,97.5535
2009-07-01,104.1673
2009-08-01,106.0048
2009-09-01,95.0942
2009-10-01,89.3811
2009-11-01,89.4576
2009-12-01,110.8777
2010-01-01,119.2473
2010-02-01,110.7525
2010-03-01,98.3430
2010-04-01,86.2612
2010-05-01,90.8459
2010-06-01,104.4774
2010-07-01,113.1386
2010-08-01,113.2550
2010-09-01,100.3372
2010-10-01,89.0653
2010-11-01,92.8343
2010-12-01,114.5367
2011-01-01,119.7475
2011-02-01,107.4965
2011-03-01,99.1848
2011-04-01,89.3568
2011-05-01,90.0903
2011-06-01,102.9273
2011-07-01,114.9326
2011-08-01,113.7650
2011-09-01,99.5821
2011-10-01,90.3241
2011-11-01,93.7486
2011-12-01,107.3309
2012-01-01,111.8351
2012-02-01,103.3433
2012-03-01,93.4051
2012-04-01,87.4539
2012-05-01,92.7704
2012-06-01,101.2446
2012-07-01,113.3866
2012-08-01,110.1671
2012-09-01,96.9014
2012-10-01,90.2609
2012-11-01,94.2111
2012-12-01,105.0203
2013-01-01,115.2323
2013-02-01,106.4512
2013-03-01,102.6701
2013-04-01,90.6136
2013-05-01,90.7000
2013-06-01,100.6631
2013-07-01,110.3583
2013-08-01,108.4228
2013-09-01,99.3427
2013-10-01,91.6671
2013-11-01,96.9845
2013-12-01,113.3465
2014-01-01,124.0216
2014-02-01,112.6796
2014-03-01,104.4158
2014-04-01,89.8017
2014-05-01,91.8610
2014-06-01,101.6422
2014-07-01,108.6330
2014-08-01,108.3892
2014-09-01,100.4238
2014-10-01,92.1366
2014-11-01,99.1114
2014-12-01,108.9783
2015-01-01,119.9317
2015-02-01,116.1393
2015-03-01,104.0218
2015-04-01,89.1544
2015-05-01,90.6950
2015-06-01,102.8863
2015-07-01,111.9826
2015-08-01,110.7643
2015-09-01,101.7996
2015-10-01,90.9888
2015-11-01,92.2113
2015-12-01,102.3222
2016-01-01,116.8926
2016-02-01,105.9614
2016-03-01,94.2339
2016-04-01,88.1615
2016-05-01,89.4711
2016-06-01,103.4258
2016-07-01,114.1946
2016-08-01,115.5015
2016-09-01,102.2398
2016-10-01,90.8499
2016-11-01,92.6032
2016-12-01,114.0219
2017-01-01,116.4746
2017-02-01,99.5393
2017-03-01,101.0063
2017-04-01,87.0374
2017-05-01,90.3591
2017-06-01,100.4412
2017-07-01,111.2371
2017-08-01,107.7583
2017-09-01,97.0813
2017-10-01,92.3020
2017-11-01,97.7214
2017-12-01,117.2377
2018-01-01,128.9071
2018-02-01,107.6711
2018-03-01,104.5716
2018-04-01,93.4491
2018-05-01,93.2405
2018-06-01,103.3083
2018-07-01,113.3178
2018-08-01,113.2758
2018-09-01,101.5656
2018-10-01,95.3203
2018-11-01,103.5750
2018-12-01,112.9498
2019-01-01,123.7687
2019-02-01,112.9837
2019-03-01,106.6593
2019-04-01,88.6631
2019-05-01,91.9852
2019-06-01,98.4548
2019-07-01,113.0791
2019-08-01,111.2697
2019-09-01,102.0185
2019-10-01,93.9518
2019-11-01,102.1902
2019-12-01,113.0698
2020-01-01,116.0371
2020-02-01,109.6578
2020-03-01,97.8951
2020-04-01,86.2705
2020-05-01,86.7248
2020-06-01,98.7536
2020-07-01,114.7288
2020-08-01,111.0092
2020-09-01,97.1503
2020-10-01,91.6317
2020-11-01,94.1304
2020-12-01,115.7111
2021-01-01,124.6458
2021-02-01,121.7043
